province,year,month,n_events_mm,onset_mm,n_events_acled,onset_acled,source
Ilam,2010,1,0.0,0.0,,,MM
Ilam,2010,2,1.0,1.0,,,MM
Ilam,2010,3,0.0,0.0,,,MM
Ilam,2010,4,0.0,0.0,,,MM
Ilam,2010,5,0.0,0.0,,,MM
Ilam,2010,6,0.0,0.0,,,MM
Ilam,2010,7,0.0,0.0,,,MM
Ilam,2010,8,0.0,0.0,,,MM
Ilam,2010,9,0.0,0.0,,,MM
Ilam,2010,10,0.0,0.0,,,MM
Ilam,2010,11,0.0,0.0,,,MM
Ilam,2010,12,0.0,0.0,,,MM
Ilam,2011,1,0.0,0.0,,,MM
Ilam,2011,2,0.0,0.0,,,MM
Ilam,2011,3,1.0,1.0,,,MM
Ilam,2011,4,0.0,0.0,,,MM
Ilam,2011,5,0.0,0.0,,,MM
Ilam,2011,6,0.0,0.0,,,MM
Ilam,2011,7,0.0,0.0,,,MM
Ilam,2011,8,0.0,0.0,,,MM
Ilam,2011,9,0.0,0.0,,,MM
Ilam,2011,10,0.0,0.0,,,MM
Ilam,2011,11,0.0,0.0,,,MM
Ilam,2011,12,0.0,0.0,,,MM
Ilam,2012,1,0.0,0.0,,,MM
Ilam,2012,2,0.0,0.0,,,MM
Ilam,2012,3,0.0,0.0,,,MM
Ilam,2012,4,0.0,0.0,,,MM
Ilam,2012,5,0.0,0.0,,,MM
Ilam,2012,6,0.0,0.0,,,MM
Ilam,2012,7,0.0,0.0,,,MM
Ilam,2012,8,0.0,0.0,,,MM
Ilam,2012,9,0.0,0.0,,,MM
Ilam,2012,10,0.0,0.0,,,MM
Ilam,2012,11,0.0,0.0,,,MM
Ilam,2012,12,0.0,0.0,,,MM
Ilam,2013,1,0.0,0.0,,,MM
Ilam,2013,2,0.0,0.0,,,MM
Ilam,2013,3,0.0,0.0,,,MM
Ilam,2013,4,0.0,0.0,,,MM
Ilam,2013,5,0.0,0.0,,,MM
Ilam,2013,6,0.0,0.0,,,MM
Ilam,2013,7,0.0,0.0,,,MM
Ilam,2013,8,0.0,0.0,,,MM
Ilam,2013,9,0.0,0.0,,,MM
Ilam,2013,10,0.0,0.0,,,MM
Ilam,2013,11,0.0,0.0,,,MM
Ilam,2013,12,0.0,0.0,,,MM
Ilam,2014,1,0.0,0.0,,,MM
Ilam,2014,2,0.0,0.0,,,MM
Ilam,2014,3,0.0,0.0,,,MM
Ilam,2014,4,0.0,0.0,,,MM
Ilam,2014,5,0.0,0.0,,,MM
Ilam,2014,6,0.0,0.0,,,MM
Ilam,2014,7,0.0,0.0,,,MM
Ilam,2014,8,0.0,0.0,,,MM
Ilam,2014,9,0.0,0.0,,,MM
Ilam,2014,10,0.0,0.0,,,MM
Ilam,2014,11,0.0,0.0,,,MM
Ilam,2014,12,0.0,0.0,,,MM
Ilam,2015,1,0.0,0.0,,,MM
Ilam,2015,2,0.0,0.0,,,MM
Ilam,2015,3,0.0,0.0,,,MM
Ilam,2015,4,0.0,0.0,,,MM
Ilam,2015,5,0.0,0.0,,,MM
Ilam,2015,6,0.0,0.0,,,MM
Ilam,2015,7,0.0,0.0,,,MM
Ilam,2015,8,0.0,0.0,,,MM
Ilam,2015,9,0.0,0.0,,,MM
Ilam,2015,10,0.0,0.0,,,MM
Ilam,2015,11,0.0,0.0,,,MM
Ilam,2015,12,0.0,0.0,,,MM
Ilam,2016,1,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2016,2,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2016,3,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2016,4,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2016,5,0.0,0.0,1.0,1.0,MM+ACLED
Ilam,2016,6,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2016,7,0.0,0.0,2.0,0.0,MM+ACLED
Ilam,2016,8,0.0,0.0,3.0,0.0,MM+ACLED
Ilam,2016,9,0.0,0.0,7.0,0.0,MM+ACLED
Ilam,2016,10,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2016,11,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2016,12,0.0,0.0,5.0,1.0,MM+ACLED
Ilam,2017,1,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2017,2,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2017,3,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2017,4,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2017,5,0.0,0.0,3.0,1.0,MM+ACLED
Ilam,2017,6,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2017,7,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2017,8,0.0,0.0,3.0,0.0,MM+ACLED
Ilam,2017,9,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2017,10,0.0,0.0,2.0,0.0,MM+ACLED
Ilam,2017,11,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2017,12,2.0,1.0,3.0,0.0,MM+ACLED
Ilam,2018,1,1.0,1.0,4.0,0.0,MM+ACLED
Ilam,2018,2,0.0,0.0,6.0,0.0,MM+ACLED
Ilam,2018,3,1.0,1.0,4.0,0.0,MM+ACLED
Ilam,2018,4,0.0,0.0,8.0,0.0,MM+ACLED
Ilam,2018,5,0.0,0.0,4.0,0.0,MM+ACLED
Ilam,2018,6,1.0,1.0,0.0,0.0,MM+ACLED
Ilam,2018,7,0.0,0.0,3.0,0.0,MM+ACLED
Ilam,2018,8,1.0,1.0,2.0,0.0,MM+ACLED
Ilam,2018,9,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2018,10,0.0,0.0,2.0,0.0,MM+ACLED
Ilam,2018,11,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2018,12,1.0,1.0,0.0,0.0,MM+ACLED
Ilam,2019,1,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2019,2,0.0,0.0,3.0,1.0,MM+ACLED
Ilam,2019,3,0.0,0.0,5.0,0.0,MM+ACLED
Ilam,2019,4,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2019,5,0.0,0.0,4.0,0.0,MM+ACLED
Ilam,2019,6,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2019,7,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2019,8,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2019,9,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2019,10,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2019,11,4.0,1.0,2.0,0.0,MM+ACLED
Ilam,2019,12,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2020,1,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2020,2,0.0,0.0,3.0,1.0,MM+ACLED
Ilam,2020,3,0.0,0.0,3.0,0.0,MM+ACLED
Ilam,2020,4,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2020,5,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2020,6,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2020,7,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2020,8,0.0,0.0,3.0,0.0,MM+ACLED
Ilam,2020,9,0.0,0.0,2.0,0.0,MM+ACLED
Ilam,2020,10,0.0,0.0,1.0,0.0,MM+ACLED
Ilam,2020,11,0.0,0.0,0.0,0.0,MM+ACLED
Ilam,2020,12,0.0,0.0,5.0,0.0,MM+ACLED
Ilam,2021,1,,,5.0,0.0,ACLED
Ilam,2021,2,,,8.0,0.0,ACLED
Ilam,2021,3,,,5.0,0.0,ACLED
Ilam,2021,4,,,7.0,0.0,ACLED
Ilam,2021,5,,,5.0,0.0,ACLED
Ilam,2021,6,,,2.0,0.0,ACLED
Ilam,2021,7,,,6.0,0.0,ACLED
Ilam,2021,8,,,2.0,0.0,ACLED
Ilam,2021,9,,,3.0,0.0,ACLED
Ilam,2021,10,,,2.0,0.0,ACLED
Ilam,2021,11,,,4.0,0.0,ACLED
Ilam,2021,12,,,6.0,0.0,ACLED
Ilam,2022,1,,,16.0,0.0,ACLED
Ilam,2022,2,,,7.0,0.0,ACLED
Ilam,2022,3,,,2.0,0.0,ACLED
Ilam,2022,4,,,7.0,0.0,ACLED
Ilam,2022,5,,,3.0,0.0,ACLED
Ilam,2022,6,,,7.0,0.0,ACLED
Ilam,2022,7,,,4.0,0.0,ACLED
Ilam,2022,8,,,1.0,0.0,ACLED
Ilam,2022,9,,,6.0,0.0,ACLED
Ilam,2022,10,,,5.0,0.0,ACLED
Ilam,2022,11,,,8.0,0.0,ACLED
Ilam,2022,12,,,5.0,0.0,ACLED
Isfahan,2005,1,0.0,0.0,,,MM
Isfahan,2005,2,0.0,0.0,,,MM
Isfahan,2005,3,0.0,0.0,,,MM
Isfahan,2005,4,0.0,0.0,,,MM
Isfahan,2005,5,0.0,0.0,,,MM
Isfahan,2005,6,0.0,0.0,,,MM
Isfahan,2005,7,0.0,0.0,,,MM
Isfahan,2005,8,0.0,0.0,,,MM
Isfahan,2005,9,0.0,0.0,,,MM
Isfahan,2005,10,0.0,0.0,,,MM
Isfahan,2005,11,0.0,0.0,,,MM
Isfahan,2005,12,0.0,0.0,,,MM
Isfahan,2006,1,0.0,0.0,,,MM
Isfahan,2006,2,0.0,0.0,,,MM
Isfahan,2006,3,0.0,0.0,,,MM
Isfahan,2006,4,0.0,0.0,,,MM
Isfahan,2006,5,0.0,0.0,,,MM
Isfahan,2006,6,0.0,0.0,,,MM
Isfahan,2006,7,0.0,0.0,,,MM
Isfahan,2006,8,0.0,0.0,,,MM
Isfahan,2006,9,0.0,0.0,,,MM
Isfahan,2006,10,0.0,0.0,,,MM
Isfahan,2006,11,0.0,0.0,,,MM
Isfahan,2006,12,0.0,0.0,,,MM
Isfahan,2007,1,0.0,0.0,,,MM
Isfahan,2007,2,0.0,0.0,,,MM
Isfahan,2007,3,0.0,0.0,,,MM
Isfahan,2007,4,0.0,0.0,,,MM
Isfahan,2007,5,0.0,0.0,,,MM
Isfahan,2007,6,0.0,0.0,,,MM
Isfahan,2007,7,0.0,0.0,,,MM
Isfahan,2007,8,0.0,0.0,,,MM
Isfahan,2007,9,0.0,0.0,,,MM
Isfahan,2007,10,0.0,0.0,,,MM
Isfahan,2007,11,0.0,0.0,,,MM
Isfahan,2007,12,0.0,0.0,,,MM
Isfahan,2008,1,0.0,0.0,,,MM
Isfahan,2008,2,0.0,0.0,,,MM
Isfahan,2008,3,0.0,0.0,,,MM
Isfahan,2008,4,0.0,0.0,,,MM
Isfahan,2008,5,0.0,0.0,,,MM
Isfahan,2008,6,0.0,0.0,,,MM
Isfahan,2008,7,0.0,0.0,,,MM
Isfahan,2008,8,0.0,0.0,,,MM
Isfahan,2008,9,0.0,0.0,,,MM
Isfahan,2008,10,1.0,1.0,,,MM
Isfahan,2008,11,0.0,0.0,,,MM
Isfahan,2008,12,0.0,0.0,,,MM
Isfahan,2009,1,0.0,0.0,,,MM
Isfahan,2009,2,0.0,0.0,,,MM
Isfahan,2009,3,0.0,0.0,,,MM
Isfahan,2009,4,0.0,0.0,,,MM
Isfahan,2009,5,0.0,0.0,,,MM
Isfahan,2009,6,0.0,0.0,,,MM
Isfahan,2009,7,0.0,0.0,,,MM
Isfahan,2009,8,0.0,0.0,,,MM
Isfahan,2009,9,1.0,1.0,,,MM
Isfahan,2009,10,0.0,0.0,,,MM
Isfahan,2009,11,0.0,0.0,,,MM
Isfahan,2009,12,2.0,1.0,,,MM
Isfahan,2010,1,0.0,0.0,,,MM
Isfahan,2010,2,1.0,1.0,,,MM
Isfahan,2010,3,0.0,0.0,,,MM
Isfahan,2010,4,0.0,0.0,,,MM
Isfahan,2010,5,0.0,0.0,,,MM
Isfahan,2010,6,0.0,0.0,,,MM
Isfahan,2010,7,0.0,0.0,,,MM
Isfahan,2010,8,0.0,0.0,,,MM
Isfahan,2010,9,0.0,0.0,,,MM
Isfahan,2010,10,0.0,0.0,,,MM
Isfahan,2010,11,0.0,0.0,,,MM
Isfahan,2010,12,0.0,0.0,,,MM
Isfahan,2011,1,0.0,0.0,,,MM
Isfahan,2011,2,0.0,0.0,,,MM
Isfahan,2011,3,1.0,1.0,,,MM
Isfahan,2011,4,0.0,0.0,,,MM
Isfahan,2011,5,0.0,0.0,,,MM
Isfahan,2011,6,0.0,0.0,,,MM
Isfahan,2011,7,0.0,0.0,,,MM
Isfahan,2011,8,0.0,0.0,,,MM
Isfahan,2011,9,0.0,0.0,,,MM
Isfahan,2011,10,0.0,0.0,,,MM
Isfahan,2011,11,0.0,0.0,,,MM
Isfahan,2011,12,0.0,0.0,,,MM
Isfahan,2012,1,0.0,0.0,,,MM
Isfahan,2012,2,0.0,0.0,,,MM
Isfahan,2012,3,0.0,0.0,,,MM
Isfahan,2012,4,0.0,0.0,,,MM
Isfahan,2012,5,0.0,0.0,,,MM
Isfahan,2012,6,0.0,0.0,,,MM
Isfahan,2012,7,0.0,0.0,,,MM
Isfahan,2012,8,0.0,0.0,,,MM
Isfahan,2012,9,0.0,0.0,,,MM
Isfahan,2012,10,0.0,0.0,,,MM
Isfahan,2012,11,0.0,0.0,,,MM
Isfahan,2012,12,0.0,0.0,,,MM
Isfahan,2013,1,0.0,0.0,,,MM
Isfahan,2013,2,0.0,0.0,,,MM
Isfahan,2013,3,0.0,0.0,,,MM
Isfahan,2013,4,0.0,0.0,,,MM
Isfahan,2013,5,0.0,0.0,,,MM
Isfahan,2013,6,0.0,0.0,,,MM
Isfahan,2013,7,0.0,0.0,,,MM
Isfahan,2013,8,0.0,0.0,,,MM
Isfahan,2013,9,0.0,0.0,,,MM
Isfahan,2013,10,0.0,0.0,,,MM
Isfahan,2013,11,0.0,0.0,,,MM
Isfahan,2013,12,0.0,0.0,,,MM
Isfahan,2014,1,0.0,0.0,,,MM
Isfahan,2014,2,0.0,0.0,,,MM
Isfahan,2014,3,0.0,0.0,,,MM
Isfahan,2014,4,0.0,0.0,,,MM
Isfahan,2014,5,0.0,0.0,,,MM
Isfahan,2014,6,0.0,0.0,,,MM
Isfahan,2014,7,0.0,0.0,,,MM
Isfahan,2014,8,0.0,0.0,,,MM
Isfahan,2014,9,0.0,0.0,,,MM
Isfahan,2014,10,2.0,1.0,,,MM
Isfahan,2014,11,0.0,0.0,,,MM
Isfahan,2014,12,0.0,0.0,,,MM
Isfahan,2015,1,0.0,0.0,,,MM
Isfahan,2015,2,0.0,0.0,,,MM
Isfahan,2015,3,0.0,0.0,,,MM
Isfahan,2015,4,0.0,0.0,,,MM
Isfahan,2015,5,0.0,0.0,,,MM
Isfahan,2015,6,0.0,0.0,,,MM
Isfahan,2015,7,0.0,0.0,,,MM
Isfahan,2015,8,0.0,0.0,,,MM
Isfahan,2015,9,0.0,0.0,,,MM
Isfahan,2015,10,0.0,0.0,,,MM
Isfahan,2015,11,0.0,0.0,,,MM
Isfahan,2015,12,0.0,0.0,,,MM
Isfahan,2016,1,0.0,0.0,23.0,1.0,MM+ACLED
Isfahan,2016,2,0.0,0.0,2.0,0.0,MM+ACLED
Isfahan,2016,3,0.0,0.0,8.0,0.0,MM+ACLED
Isfahan,2016,4,0.0,0.0,3.0,0.0,MM+ACLED
Isfahan,2016,5,0.0,0.0,3.0,0.0,MM+ACLED
Isfahan,2016,6,0.0,0.0,4.0,0.0,MM+ACLED
Isfahan,2016,7,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2016,8,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2016,9,0.0,0.0,10.0,0.0,MM+ACLED
Isfahan,2016,10,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2016,11,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2016,12,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2017,1,0.0,0.0,10.0,0.0,MM+ACLED
Isfahan,2017,2,0.0,0.0,9.0,0.0,MM+ACLED
Isfahan,2017,3,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2017,4,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2017,5,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2017,6,0.0,0.0,7.0,0.0,MM+ACLED
Isfahan,2017,7,0.0,0.0,2.0,0.0,MM+ACLED
Isfahan,2017,8,0.0,0.0,3.0,0.0,MM+ACLED
Isfahan,2017,9,0.0,0.0,2.0,0.0,MM+ACLED
Isfahan,2017,10,0.0,0.0,7.0,0.0,MM+ACLED
Isfahan,2017,11,0.0,0.0,7.0,0.0,MM+ACLED
Isfahan,2017,12,2.0,1.0,21.0,0.0,MM+ACLED
Isfahan,2018,1,1.0,1.0,20.0,0.0,MM+ACLED
Isfahan,2018,2,0.0,0.0,9.0,0.0,MM+ACLED
Isfahan,2018,3,1.0,1.0,21.0,0.0,MM+ACLED
Isfahan,2018,4,0.0,0.0,24.0,0.0,MM+ACLED
Isfahan,2018,5,0.0,0.0,15.0,0.0,MM+ACLED
Isfahan,2018,6,1.0,1.0,3.0,0.0,MM+ACLED
Isfahan,2018,7,0.0,0.0,14.0,0.0,MM+ACLED
Isfahan,2018,8,1.0,1.0,12.0,0.0,MM+ACLED
Isfahan,2018,9,0.0,0.0,3.0,0.0,MM+ACLED
Isfahan,2018,10,0.0,0.0,32.0,0.0,MM+ACLED
Isfahan,2018,11,0.0,0.0,22.0,0.0,MM+ACLED
Isfahan,2018,12,1.0,1.0,26.0,0.0,MM+ACLED
Isfahan,2019,1,0.0,0.0,14.0,0.0,MM+ACLED
Isfahan,2019,2,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2019,3,0.0,0.0,20.0,0.0,MM+ACLED
Isfahan,2019,4,0.0,0.0,2.0,0.0,MM+ACLED
Isfahan,2019,5,0.0,0.0,17.0,0.0,MM+ACLED
Isfahan,2019,6,0.0,0.0,9.0,0.0,MM+ACLED
Isfahan,2019,7,0.0,0.0,6.0,0.0,MM+ACLED
Isfahan,2019,8,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2019,9,0.0,0.0,7.0,0.0,MM+ACLED
Isfahan,2019,10,0.0,0.0,23.0,0.0,MM+ACLED
Isfahan,2019,11,4.0,1.0,18.0,0.0,MM+ACLED
Isfahan,2019,12,0.0,0.0,3.0,0.0,MM+ACLED
Isfahan,2020,1,0.0,0.0,8.0,0.0,MM+ACLED
Isfahan,2020,2,0.0,0.0,4.0,0.0,MM+ACLED
Isfahan,2020,3,0.0,0.0,1.0,0.0,MM+ACLED
Isfahan,2020,4,0.0,0.0,2.0,0.0,MM+ACLED
Isfahan,2020,5,0.0,0.0,8.0,0.0,MM+ACLED
Isfahan,2020,6,0.0,0.0,5.0,0.0,MM+ACLED
Isfahan,2020,7,0.0,0.0,14.0,0.0,MM+ACLED
Isfahan,2020,8,0.0,0.0,9.0,0.0,MM+ACLED
Isfahan,2020,9,0.0,0.0,9.0,0.0,MM+ACLED
Isfahan,2020,10,0.0,0.0,6.0,0.0,MM+ACLED
Isfahan,2020,11,0.0,0.0,6.0,0.0,MM+ACLED
Isfahan,2020,12,0.0,0.0,8.0,0.0,MM+ACLED
Isfahan,2021,1,,,21.0,0.0,ACLED
Isfahan,2021,2,,,10.0,0.0,ACLED
Isfahan,2021,3,,,12.0,0.0,ACLED
Isfahan,2021,4,,,28.0,0.0,ACLED
Isfahan,2021,5,,,36.0,0.0,ACLED
Isfahan,2021,6,,,12.0,0.0,ACLED
Isfahan,2021,7,,,33.0,0.0,ACLED
Isfahan,2021,8,,,14.0,0.0,ACLED
Isfahan,2021,9,,,10.0,0.0,ACLED
Isfahan,2021,10,,,20.0,0.0,ACLED
Isfahan,2021,11,,,30.0,0.0,ACLED
Isfahan,2021,12,,,40.0,0.0,ACLED
Isfahan,2022,1,,,49.0,0.0,ACLED
Isfahan,2022,2,,,22.0,0.0,ACLED
Isfahan,2022,3,,,10.0,0.0,ACLED
Isfahan,2022,4,,,19.0,0.0,ACLED
Isfahan,2022,5,,,17.0,0.0,ACLED
Isfahan,2022,6,,,10.0,0.0,ACLED
Isfahan,2022,7,,,7.0,0.0,ACLED
Isfahan,2022,8,,,8.0,0.0,ACLED
Isfahan,2022,9,,,19.0,0.0,ACLED
Isfahan,2022,10,,,49.0,0.0,ACLED
Isfahan,2022,11,,,31.0,0.0,ACLED
Isfahan,2022,12,,,21.0,0.0,ACLED
Kerman,2005,1,0.0,0.0,,,MM
Kerman,2005,2,0.0,0.0,,,MM
Kerman,2005,3,0.0,0.0,,,MM
Kerman,2005,4,0.0,0.0,,,MM
Kerman,2005,5,0.0,0.0,,,MM
Kerman,2005,6,0.0,0.0,,,MM
Kerman,2005,7,0.0,0.0,,,MM
Kerman,2005,8,0.0,0.0,,,MM
Kerman,2005,9,0.0,0.0,,,MM
Kerman,2005,10,0.0,0.0,,,MM
Kerman,2005,11,0.0,0.0,,,MM
Kerman,2005,12,0.0,0.0,,,MM
Kerman,2006,1,0.0,0.0,,,MM
Kerman,2006,2,0.0,0.0,,,MM
Kerman,2006,3,0.0,0.0,,,MM
Kerman,2006,4,0.0,0.0,,,MM
Kerman,2006,5,0.0,0.0,,,MM
Kerman,2006,6,0.0,0.0,,,MM
Kerman,2006,7,0.0,0.0,,,MM
Kerman,2006,8,0.0,0.0,,,MM
Kerman,2006,9,0.0,0.0,,,MM
Kerman,2006,10,0.0,0.0,,,MM
Kerman,2006,11,0.0,0.0,,,MM
Kerman,2006,12,0.0,0.0,,,MM
Kerman,2007,1,0.0,0.0,,,MM
Kerman,2007,2,0.0,0.0,,,MM
Kerman,2007,3,0.0,0.0,,,MM
Kerman,2007,4,0.0,0.0,,,MM
Kerman,2007,5,0.0,0.0,,,MM
Kerman,2007,6,0.0,0.0,,,MM
Kerman,2007,7,0.0,0.0,,,MM
Kerman,2007,8,0.0,0.0,,,MM
Kerman,2007,9,0.0,0.0,,,MM
Kerman,2007,10,0.0,0.0,,,MM
Kerman,2007,11,0.0,0.0,,,MM
Kerman,2007,12,0.0,0.0,,,MM
Kerman,2008,1,0.0,0.0,,,MM
Kerman,2008,2,0.0,0.0,,,MM
Kerman,2008,3,0.0,0.0,,,MM
Kerman,2008,4,0.0,0.0,,,MM
Kerman,2008,5,0.0,0.0,,,MM
Kerman,2008,6,0.0,0.0,,,MM
Kerman,2008,7,0.0,0.0,,,MM
Kerman,2008,8,0.0,0.0,,,MM
Kerman,2008,9,0.0,0.0,,,MM
Kerman,2008,10,1.0,1.0,,,MM
Kerman,2008,11,0.0,0.0,,,MM
Kerman,2008,12,0.0,0.0,,,MM
Kerman,2009,1,0.0,0.0,,,MM
Kerman,2009,2,0.0,0.0,,,MM
Kerman,2009,3,0.0,0.0,,,MM
Kerman,2009,4,0.0,0.0,,,MM
Kerman,2009,5,0.0,0.0,,,MM
Kerman,2009,6,0.0,0.0,,,MM
Kerman,2009,7,0.0,0.0,,,MM
Kerman,2009,8,0.0,0.0,,,MM
Kerman,2009,9,1.0,1.0,,,MM
Kerman,2009,10,0.0,0.0,,,MM
Kerman,2009,11,0.0,0.0,,,MM
Kerman,2009,12,1.0,1.0,,,MM
Kerman,2010,1,0.0,0.0,,,MM
Kerman,2010,2,1.0,1.0,,,MM
Kerman,2010,3,0.0,0.0,,,MM
Kerman,2010,4,0.0,0.0,,,MM
Kerman,2010,5,0.0,0.0,,,MM
Kerman,2010,6,0.0,0.0,,,MM
Kerman,2010,7,0.0,0.0,,,MM
Kerman,2010,8,0.0,0.0,,,MM
Kerman,2010,9,0.0,0.0,,,MM
Kerman,2010,10,0.0,0.0,,,MM
Kerman,2010,11,0.0,0.0,,,MM
Kerman,2010,12,0.0,0.0,,,MM
Kerman,2011,1,0.0,0.0,,,MM
Kerman,2011,2,0.0,0.0,,,MM
Kerman,2011,3,1.0,1.0,,,MM
Kerman,2011,4,0.0,0.0,,,MM
Kerman,2011,5,0.0,0.0,,,MM
Kerman,2011,6,0.0,0.0,,,MM
Kerman,2011,7,0.0,0.0,,,MM
Kerman,2011,8,0.0,0.0,,,MM
Kerman,2011,9,0.0,0.0,,,MM
Kerman,2011,10,0.0,0.0,,,MM
Kerman,2011,11,0.0,0.0,,,MM
Kerman,2011,12,0.0,0.0,,,MM
Kerman,2012,1,0.0,0.0,,,MM
Kerman,2012,2,0.0,0.0,,,MM
Kerman,2012,3,0.0,0.0,,,MM
Kerman,2012,4,0.0,0.0,,,MM
Kerman,2012,5,0.0,0.0,,,MM
Kerman,2012,6,0.0,0.0,,,MM
Kerman,2012,7,0.0,0.0,,,MM
Kerman,2012,8,0.0,0.0,,,MM
Kerman,2012,9,0.0,0.0,,,MM
Kerman,2012,10,0.0,0.0,,,MM
Kerman,2012,11,0.0,0.0,,,MM
Kerman,2012,12,0.0,0.0,,,MM
Kerman,2013,1,0.0,0.0,,,MM
Kerman,2013,2,0.0,0.0,,,MM
Kerman,2013,3,0.0,0.0,,,MM
Kerman,2013,4,0.0,0.0,,,MM
Kerman,2013,5,0.0,0.0,,,MM
Kerman,2013,6,0.0,0.0,,,MM
Kerman,2013,7,0.0,0.0,,,MM
Kerman,2013,8,0.0,0.0,,,MM
Kerman,2013,9,0.0,0.0,,,MM
Kerman,2013,10,0.0,0.0,,,MM
Kerman,2013,11,0.0,0.0,,,MM
Kerman,2013,12,0.0,0.0,,,MM
Kerman,2014,1,0.0,0.0,,,MM
Kerman,2014,2,0.0,0.0,,,MM
Kerman,2014,3,0.0,0.0,,,MM
Kerman,2014,4,0.0,0.0,,,MM
Kerman,2014,5,0.0,0.0,,,MM
Kerman,2014,6,0.0,0.0,,,MM
Kerman,2014,7,0.0,0.0,,,MM
Kerman,2014,8,0.0,0.0,,,MM
Kerman,2014,9,0.0,0.0,,,MM
Kerman,2014,10,0.0,0.0,,,MM
Kerman,2014,11,0.0,0.0,,,MM
Kerman,2014,12,0.0,0.0,,,MM
Kerman,2015,1,0.0,0.0,,,MM
Kerman,2015,2,0.0,0.0,,,MM
Kerman,2015,3,0.0,0.0,,,MM
Kerman,2015,4,0.0,0.0,,,MM
Kerman,2015,5,0.0,0.0,,,MM
Kerman,2015,6,0.0,0.0,,,MM
Kerman,2015,7,0.0,0.0,,,MM
Kerman,2015,8,0.0,0.0,,,MM
Kerman,2015,9,0.0,0.0,,,MM
Kerman,2015,10,0.0,0.0,,,MM
Kerman,2015,11,0.0,0.0,,,MM
Kerman,2015,12,0.0,0.0,,,MM
Kerman,2016,1,0.0,0.0,11.0,1.0,MM+ACLED
Kerman,2016,2,0.0,0.0,2.0,0.0,MM+ACLED
Kerman,2016,3,0.0,0.0,2.0,0.0,MM+ACLED
Kerman,2016,4,0.0,0.0,10.0,0.0,MM+ACLED
Kerman,2016,5,0.0,0.0,6.0,0.0,MM+ACLED
Kerman,2016,6,0.0,0.0,6.0,0.0,MM+ACLED
Kerman,2016,7,0.0,0.0,7.0,0.0,MM+ACLED
Kerman,2016,8,0.0,0.0,6.0,0.0,MM+ACLED
Kerman,2016,9,0.0,0.0,8.0,0.0,MM+ACLED
Kerman,2016,10,0.0,0.0,3.0,0.0,MM+ACLED
Kerman,2016,11,0.0,0.0,3.0,0.0,MM+ACLED
Kerman,2016,12,0.0,0.0,14.0,0.0,MM+ACLED
Kerman,2017,1,0.0,0.0,5.0,0.0,MM+ACLED
Kerman,2017,2,0.0,0.0,2.0,0.0,MM+ACLED
Kerman,2017,3,0.0,0.0,4.0,0.0,MM+ACLED
Kerman,2017,4,0.0,0.0,6.0,0.0,MM+ACLED
Kerman,2017,5,0.0,0.0,7.0,0.0,MM+ACLED
Kerman,2017,6,0.0,0.0,13.0,0.0,MM+ACLED
Kerman,2017,7,0.0,0.0,6.0,0.0,MM+ACLED
Kerman,2017,8,0.0,0.0,3.0,0.0,MM+ACLED
Kerman,2017,9,0.0,0.0,4.0,0.0,MM+ACLED
